source,target,relationship
iss001,art001,CONTAINS
art001,iss001,DERIVED_FROM
iss002,art002,CONTAINS
art002,iss002,DERIVED_FROM
iss002,art003,CONTAINS
art003,iss002,DERIVED_FROM
iss004,art004,CONTAINS
art004,iss004,DERIVED_FROM
iss005,art005,CONTAINS
art005,iss005,DERIVED_FROM
iss006,art006,CONTAINS
art006,iss006,DERIVED_FROM
iss007,art007,CONTAINS
art007,iss007,DERIVED_FROM
iss008,art008,CONTAINS
art008,iss008,DERIVED_FROM
iss001,ctx001,CONTAINS
ctx001,iss001,DERIVED_FROM
iss001,ctx002,CONTAINS
ctx002,iss001,DERIVED_FROM
iss001,ctx003,CONTAINS
ctx003,iss001,DERIVED_FROM
iss004,ctx004,CONTAINS
ctx004,iss004,DERIVED_FROM
ext001,quote_ext001,SUPPORTED_BY
claim_ext001,ext001,REPRESENTED_AS
claim_ext001,quote_ext001,EVIDENCE
art001,ext001,HAS_EXTRACTION
ext002,quote_ext002,SUPPORTED_BY
claim_ext002,ext002,REPRESENTED_AS
claim_ext002,quote_ext002,EVIDENCE
art001,ext002,HAS_EXTRACTION
ext003,quote_ext003,SUPPORTED_BY
claim_ext003,ext003,REPRESENTED_AS
claim_ext003,quote_ext003,EVIDENCE
art001,ext003,HAS_EXTRACTION
ext004,quote_ext004,SUPPORTED_BY
claim_ext004,ext004,REPRESENTED_AS
claim_ext004,quote_ext004,EVIDENCE
art001,ext004,HAS_EXTRACTION
ext005,quote_ext005,SUPPORTED_BY
claim_ext005,ext005,REPRESENTED_AS
claim_ext005,quote_ext005,EVIDENCE
art001,ext005,HAS_EXTRACTION
ext006,quote_ext006,SUPPORTED_BY
claim_ext006,ext006,REPRESENTED_AS
claim_ext006,quote_ext006,EVIDENCE
art001,ext006,HAS_EXTRACTION
ext007,quote_ext007,SUPPORTED_BY
claim_ext007,ext007,REPRESENTED_AS
claim_ext007,quote_ext007,EVIDENCE
art001,ext007,HAS_EXTRACTION
ext008,quote_ext008,SUPPORTED_BY
claim_ext008,ext008,REPRESENTED_AS
claim_ext008,quote_ext008,EVIDENCE
art001,ext008,HAS_EXTRACTION
ext009,quote_ext009,SUPPORTED_BY
claim_ext009,ext009,REPRESENTED_AS
claim_ext009,quote_ext009,EVIDENCE
art003,ext009,HAS_EXTRACTION
ext010,quote_ext010,SUPPORTED_BY
claim_ext010,ext010,REPRESENTED_AS
claim_ext010,quote_ext010,EVIDENCE
art003,ext010,HAS_EXTRACTION
ext011,quote_ext011,SUPPORTED_BY
claim_ext011,ext011,REPRESENTED_AS
claim_ext011,quote_ext011,EVIDENCE
art002,ext011,HAS_EXTRACTION
ext012,quote_ext012,SUPPORTED_BY
claim_ext012,ext012,REPRESENTED_AS
claim_ext012,quote_ext012,EVIDENCE
art002,ext012,HAS_EXTRACTION
ext013,quote_ext013,SUPPORTED_BY
claim_ext013,ext013,REPRESENTED_AS
claim_ext013,quote_ext013,EVIDENCE
art004,ext013,HAS_EXTRACTION
ext014,quote_ext014,SUPPORTED_BY
claim_ext014,ext014,REPRESENTED_AS
claim_ext014,quote_ext014,EVIDENCE
art004,ext014,HAS_EXTRACTION
ext015,quote_ext015,SUPPORTED_BY
claim_ext015,ext015,REPRESENTED_AS
claim_ext015,quote_ext015,EVIDENCE
art005,ext015,HAS_EXTRACTION
ext016,quote_ext016,SUPPORTED_BY
claim_ext016,ext016,REPRESENTED_AS
claim_ext016,quote_ext016,EVIDENCE
art005,ext016,HAS_EXTRACTION
ext017,quote_ext017,SUPPORTED_BY
claim_ext017,ext017,REPRESENTED_AS
claim_ext017,quote_ext017,EVIDENCE
art005,ext017,HAS_EXTRACTION
ext018,quote_ext018,SUPPORTED_BY
claim_ext018,ext018,REPRESENTED_AS
claim_ext018,quote_ext018,EVIDENCE
art006,ext018,HAS_EXTRACTION
ext019,quote_ext019,SUPPORTED_BY
claim_ext019,ext019,REPRESENTED_AS
claim_ext019,quote_ext019,EVIDENCE
art007,ext019,HAS_EXTRACTION
ext020,quote_ext020,SUPPORTED_BY
claim_ext020,ext020,REPRESENTED_AS
claim_ext020,quote_ext020,EVIDENCE
art007,ext020,HAS_EXTRACTION
ext021,quote_ext021,SUPPORTED_BY
claim_ext021,ext021,REPRESENTED_AS
claim_ext021,quote_ext021,EVIDENCE
art007,ext021,HAS_EXTRACTION
ext022,quote_ext022,SUPPORTED_BY
claim_ext022,ext022,REPRESENTED_AS
claim_ext022,quote_ext022,EVIDENCE
art008,ext022,HAS_EXTRACTION
ext023,quote_ext023,SUPPORTED_BY
claim_ext023,ext023,REPRESENTED_AS
claim_ext023,quote_ext023,EVIDENCE
art008,ext023,HAS_EXTRACTION
ext024,quote_ext024,SUPPORTED_BY
claim_ext024,ext024,REPRESENTED_AS
claim_ext024,quote_ext024,EVIDENCE
art008,ext024,HAS_EXTRACTION
ext025,quote_ext025,SUPPORTED_BY
claim_ext025,ext025,REPRESENTED_AS
claim_ext025,quote_ext025,EVIDENCE
art008,ext025,HAS_EXTRACTION
claim_ext026,ext026,REPRESENTED_AS
